trade_date,tpo_count,pocs,val,vah,skewness,open,high,low,close,volume
2022-06-27,"{21720: 1, 21725: 1, 21730: 1, 21735: 1, 21740: 1, 21745: 1, 21750: 1, 21755: 1, 21760: 1, 21765: 1, 21770: 1, 21775: 1, 21780: 1, 21785: 1, 21790: 1, 21795: 1, 21800: 1, 21805: 1, 21810: 1, 21815: 1, 21820: 1, 21825: 1, 21830: 1, 21835: 1, 21840: 1, 21845: 2, 21850: 2, 21855: 2, 21860: 2, 21865: 2, 21870: 2, 21875: 1, 21880: 2, 21885: 2, 21890: 2, 21895: 2, 21900: 2, 21905: 2, 21910: 2, 21915: 2, 21920: 2, 21925: 2, 21930: 2, 21935: 2, 21940: 2, 21945: 2, 21950: 2, 21955: 2, 21960: 2, 21965: 3, 21970: 4, 21975: 4, 21980: 4, 21985: 5, 21990: 6, 21995: 7, 22000: 8, 22005: 7, 22010: 7, 22015: 7, 22020: 7, 22025: 8, 22030: 8, 22035: 8, 22040: 8, 22045: 8, 22050: 9, 22055: 10, 22060: 11, 22065: 11, 22070: 9, 22075: 9, 22080: 9, 22085: 9, 22090: 9, 22095: 8, 22100: 8, 22105: 7, 22110: 6, 22115: 6, 22120: 5, 22125: 3, 22130: 3, 22135: 3, 22140: 3, 22145: 3, 22150: 3, 22155: 3, 22160: 3, 22165: 3, 22170: 4, 22175: 4, 22180: 3, 22185: 3, 22190: 3, 22195: 3, 22200: 3, 22205: 3, 22210: 3, 22215: 3, 22220: 3, 22225: 3, 22230: 2, 22235: 2, 22240: 2, 22245: 2, 22250: 2, 22255: 2, 22260: 1}","[22060, 22065]",21949.0,22175.0,-0.5996,21721,22263,21716,21929,70460
2022-06-28,"{21810: 1, 21815: 1, 21820: 1, 21825: 3, 21830: 3, 21835: 3, 21840: 3, 21845: 4, 21850: 4, 21855: 4, 21860: 5, 21865: 5, 21870: 6, 21875: 6, 21880: 6, 21885: 6, 21890: 6, 21895: 6, 21900: 6, 21905: 6, 21910: 5, 21915: 6, 21920: 6, 21925: 6, 21930: 5, 21935: 5, 21940: 5, 21945: 5, 21950: 4, 21955: 4, 21960: 3, 21965: 4, 21970: 4, 21975: 4, 21980: 4, 21985: 4, 21990: 4, 21995: 4, 22000: 4, 22005: 5, 22010: 5, 22015: 5, 22020: 4, 22025: 4, 22030: 3, 22035: 3, 22040: 3, 22045: 3, 22050: 3, 22055: 3, 22060: 2, 22065: 2, 22070: 2, 22075: 2, 22080: 2, 22085: 2, 22090: 2, 22095: 2, 22100: 2, 22105: 2, 22110: 2, 22115: 2, 22120: 2, 22125: 2, 22130: 2, 22135: 2, 22140: 2, 22145: 2, 22150: 2, 22155: 2, 22160: 3, 22165: 3, 22170: 4, 22175: 4, 22180: 4, 22185: 4, 22190: 4, 22195: 4, 22200: 4, 22205: 4, 22210: 5, 22215: 6, 22220: 6, 22225: 6, 22230: 6, 22235: 6, 22240: 5, 22245: 5, 22250: 5, 22255: 5, 22260: 5, 22265: 5, 22270: 5, 22275: 5, 22280: 5, 22285: 5, 22290: 5, 22295: 4, 22300: 4, 22305: 4, 22310: 3, 22315: 3, 22320: 3, 22325: 3, 22330: 3, 22335: 3, 22340: 2, 22345: 2, 22350: 2, 22355: 2, 22360: 2, 22365: 2, 22370: 2, 22375: 2, 22380: 2, 22385: 2, 22390: 2, 22395: 2, 22400: 2, 22405: 2, 22410: 1, 22415: 1, 22420: 1}","[21870, 21875, 21880, 21885, 21890, 21895, 21900, 21905, 21915, 21920, 21925, 22215, 22220, 22225, 22230, 22235]",21829.0,22169.0,0.0983,21950,22423,21808,22063,108293
2022-06-29,"{21745: 1, 21750: 1, 21755: 1, 21760: 1, 21765: 1, 21770: 1, 21775: 1, 21780: 1, 21785: 1, 21790: 2, 21795: 2, 21800: 3, 21805: 3, 21810: 3, 21815: 3, 21820: 3, 21825: 3, 21830: 3, 21835: 3, 21840: 3, 21845: 4, 21850: 5, 21855: 5, 21860: 6, 21865: 6, 21870: 6, 21875: 6, 21880: 6, 21885: 8, 21890: 8, 21895: 8, 21900: 8, 21905: 8, 21910: 10, 21915: 10, 21920: 9, 21925: 8, 21930: 8, 21935: 8, 21940: 8, 21945: 6, 21950: 6, 21955: 5, 21960: 4, 21965: 4, 21970: 4, 21975: 4, 21980: 4, 21985: 4, 21990: 4, 21995: 4, 22000: 3, 22005: 2, 22010: 1, 22015: 2, 22020: 4, 22025: 4, 22030: 5, 22035: 5, 22040: 5, 22045: 5, 22050: 4, 22055: 4, 22060: 4, 22065: 4, 22070: 4, 22075: 4, 22080: 4, 22085: 4, 22090: 3, 22095: 3, 22100: 3, 22105: 3, 22110: 3, 22115: 3, 22120: 3, 22125: 3, 22130: 3, 22135: 3, 22140: 2, 22145: 1, 22150: 1, 22155: 1, 22160: 1, 22165: 1, 22170: 1, 22175: 1, 22180: 1, 22185: 1, 22190: 1}","[21910, 21915]",21813.0,22011.0,0.3264,22088,22194,21745,21937,136192
2022-06-30,"{21545: 1, 21550: 1, 21555: 1, 21560: 1, 21565: 1, 21570: 1, 21575: 1, 21580: 1, 21585: 1, 21590: 1, 21595: 1, 21600: 1, 21605: 1, 21610: 2, 21615: 2, 21620: 2, 21625: 2, 21630: 2, 21635: 2, 21640: 2, 21645: 3, 21650: 3, 21655: 3, 21660: 3, 21665: 3, 21670: 3, 21675: 3, 21680: 3, 21685: 4, 21690: 4, 21695: 4, 21700: 4, 21705: 4, 21710: 4, 21715: 5, 21720: 5, 21725: 5, 21730: 5, 21735: 6, 21740: 7, 21745: 7, 21750: 7, 21755: 6, 21760: 6, 21765: 6, 21770: 5, 21775: 5, 21780: 6, 21785: 6, 21790: 7, 21795: 7, 21800: 6, 21805: 6, 21810: 6, 21815: 8, 21820: 8, 21825: 8, 21830: 7, 21835: 6, 21840: 6, 21845: 6, 21850: 6, 21855: 6, 21860: 5, 21865: 5, 21870: 5, 21875: 4, 21880: 4, 21885: 4, 21890: 5, 21895: 5, 21900: 5, 21905: 6, 21910: 5, 21915: 5, 21920: 5, 21925: 6, 21930: 6, 21935: 6, 21940: 6, 21945: 6, 21950: 6, 21955: 6, 21960: 6, 21965: 6, 21970: 5, 21975: 5, 21980: 4, 21985: 3, 21990: 3, 21995: 3, 22000: 2, 22005: 2, 22010: 2, 22015: 1, 22020: 1, 22025: 1}","[21815, 21820, 21825]",21711.0,21929.0,-0.2092,21854,22026,21545,21798,134662
2022-07-04,"{21400: 1, 21405: 1, 21410: 1, 21415: 1, 21420: 1, 21425: 1, 21430: 1, 21435: 1, 21440: 1, 21445: 1, 21450: 1, 21455: 1, 21460: 1, 21465: 1, 21470: 1, 21475: 1, 21480: 1, 21485: 1, 21490: 1, 21495: 1, 21500: 1, 21505: 1, 21510: 2, 21515: 2, 21520: 2, 21525: 2, 21530: 2, 21535: 2, 21540: 2, 21545: 3, 21550: 3, 21555: 3, 21560: 3, 21565: 3, 21570: 3, 21575: 3, 21580: 3, 21585: 3, 21590: 3, 21595: 4, 21600: 4, 21605: 4, 21610: 4, 21615: 4, 21620: 4, 21625: 5, 21630: 5, 21635: 5, 21640: 5, 21645: 5, 21650: 6, 21655: 6, 21660: 6, 21665: 5, 21670: 5, 21675: 5, 21680: 6, 21685: 6, 21690: 6, 21695: 6, 21700: 6, 21705: 6, 21710: 6, 21715: 6, 21720: 6, 21725: 6, 21730: 6, 21735: 6, 21740: 6, 21745: 6, 21750: 6, 21755: 6, 21760: 7, 21765: 7, 21770: 7, 21775: 6, 21780: 6, 21785: 6, 21790: 6, 21795: 5, 21800: 5, 21805: 5, 21810: 5, 21815: 5, 21820: 5, 21825: 4, 21830: 3, 21835: 2, 21840: 2, 21845: 2, 21850: 1, 21855: 1, 21860: 1, 21865: 1, 21870: 1, 21875: 1, 21880: 2, 21885: 2, 21890: 2, 21895: 2, 21900: 2, 21905: 2, 21910: 2, 21915: 2, 21920: 2, 21925: 2, 21930: 2, 21935: 2, 21940: 2, 21945: 2, 21950: 2, 21955: 2, 21960: 2, 21965: 2, 21970: 1, 21975: 1}","[21760, 21765, 21770]",21643.0,21887.0,-0.1117,21750,21975,21400,21943,102887
2022-07-05,"{21350: 1, 21355: 1, 21360: 1, 21365: 1, 21370: 1, 21375: 1, 21380: 1, 21385: 1, 21390: 1, 21395: 1, 21400: 1, 21405: 1, 21410: 1, 21415: 1, 21420: 1, 21425: 1, 21430: 1, 21435: 1, 21440: 1, 21445: 2, 21450: 2, 21455: 2, 21460: 2, 21465: 2, 21470: 2, 21475: 2, 21480: 2, 21485: 2, 21490: 2, 21495: 2, 21500: 2, 21505: 2, 21510: 2, 21515: 2, 21520: 2, 21525: 2, 21530: 2, 21535: 2, 21540: 2, 21545: 2, 21550: 2, 21555: 2, 21560: 2, 21565: 2, 21570: 2, 21575: 2, 21580: 2, 21585: 2, 21590: 2, 21595: 2, 21600: 2, 21605: 2, 21610: 2, 21615: 2, 21620: 2, 21625: 2, 21630: 2, 21635: 2, 21640: 2, 21645: 2, 21650: 1, 21655: 1, 21660: 1, 21665: 1, 21670: 1, 21675: 1, 21680: 1, 21685: 1, 21690: 2, 21695: 2, 21700: 2, 21705: 2, 21710: 2, 21715: 2, 21720: 2, 21725: 2, 21730: 2, 21735: 2, 21740: 2, 21745: 1, 21750: 1, 21755: 1, 21760: 2, 21765: 2, 21770: 3, 21775: 3, 21780: 4, 21785: 4, 21790: 5, 21795: 5, 21800: 5, 21805: 5, 21810: 6, 21815: 6, 21820: 5, 21825: 6, 21830: 7, 21835: 8, 21840: 8, 21845: 7, 21850: 6, 21855: 7, 21860: 6, 21865: 6, 21870: 6, 21875: 6, 21880: 6, 21885: 6, 21890: 5, 21895: 4, 21900: 4, 21905: 3, 21910: 3, 21915: 3, 21920: 3, 21925: 3, 21930: 3, 21935: 3, 21940: 3, 21945: 3, 21950: 2, 21955: 2, 21960: 3, 21965: 2, 21970: 2, 21975: 1, 21980: 1, 21985: 1, 21990: 1, 21995: 1, 22000: 1, 22005: 2, 22010: 2, 22015: 2, 22020: 2, 22025: 3, 22030: 3, 22035: 3, 22040: 3, 22045: 3, 22050: 3, 22055: 3, 22060: 3, 22065: 3, 22070: 3, 22075: 3, 22080: 3, 22085: 3, 22090: 3, 22095: 3, 22100: 2, 22105: 1, 22110: 1, 22115: 1, 22120: 1, 22125: 1, 22130: 1, 22135: 1, 22140: 1, 22145: 1, 22150: 1, 22155: 1, 22160: 1, 22165: 1}","[21835, 21840]",21641.0,22033.0,-0.3633,22040,22169,21349,21631,136103
2022-07-06,"{21240: 1, 21245: 1, 21250: 1, 21255: 1, 21260: 1, 21265: 1, 21270: 1, 21275: 2, 21280: 2, 21285: 2, 21290: 2, 21295: 2, 21300: 2, 21305: 2, 21310: 3, 21315: 3, 21320: 3, 21325: 4, 21330: 4, 21335: 3, 21340: 3, 21345: 3, 21350: 3, 21355: 3, 21360: 3, 21365: 3, 21370: 3, 21375: 4, 21380: 5, 21385: 5, 21390: 5, 21395: 4, 21400: 4, 21405: 4, 21410: 4, 21415: 4, 21420: 4, 21425: 4, 21430: 4, 21435: 5, 21440: 5, 21445: 5, 21450: 5, 21455: 5, 21460: 5, 21465: 6, 21470: 8, 21475: 8, 21480: 9, 21485: 9, 21490: 9, 21495: 9, 21500: 9, 21505: 8, 21510: 8, 21515: 6, 21520: 6, 21525: 4, 21530: 4, 21535: 4, 21540: 4, 21545: 4, 21550: 4, 21555: 2, 21560: 2, 21565: 3, 21570: 3, 21575: 3, 21580: 3, 21585: 3, 21590: 3, 21595: 3, 21600: 2, 21605: 1, 21610: 1, 21615: 1, 21620: 1, 21625: 2, 21630: 2, 21635: 2, 21640: 2, 21645: 2, 21650: 2, 21655: 2, 21660: 2, 21665: 3, 21670: 3, 21675: 3, 21680: 3, 21685: 3, 21690: 3, 21695: 3, 21700: 3, 21705: 3, 21710: 3, 21715: 3, 21720: 3, 21725: 3, 21730: 3, 21735: 3, 21740: 2, 21745: 2, 21750: 2, 21755: 2, 21760: 2, 21765: 2, 21770: 2, 21775: 1, 21780: 1, 21785: 1, 21790: 1}","[21480, 21485, 21490, 21495, 21500]",21359.0,21621.0,0.2996,21721,21792,21238,21489,140517
2022-07-07,"{21220: 1, 21225: 1, 21230: 1, 21235: 1, 21240: 1, 21245: 1, 21250: 1, 21255: 1, 21260: 1, 21265: 1, 21270: 1, 21275: 1, 21280: 1, 21285: 1, 21290: 1, 21295: 1, 21300: 1, 21305: 1, 21310: 1, 21315: 1, 21320: 1, 21325: 1, 21330: 1, 21335: 2, 21340: 2, 21345: 2, 21350: 2, 21355: 2, 21360: 2, 21365: 3, 21370: 3, 21375: 3, 21380: 3, 21385: 3, 21390: 4, 21395: 4, 21400: 4, 21405: 3, 21410: 3, 21415: 3, 21420: 3, 21425: 2, 21430: 2, 21435: 3, 21440: 3, 21445: 3, 21450: 3, 21455: 3, 21460: 2, 21465: 2, 21470: 2, 21475: 2, 21480: 2, 21485: 2, 21490: 2, 21495: 3, 21500: 3, 21505: 3, 21510: 3, 21515: 3, 21520: 4, 21525: 4, 21530: 5, 21535: 5, 21540: 3, 21545: 3, 21550: 4, 21555: 5, 21560: 5, 21565: 4, 21570: 5, 21575: 5, 21580: 5, 21585: 5, 21590: 5, 21595: 5, 21600: 6, 21605: 6, 21610: 6, 21615: 6, 21620: 6, 21625: 5, 21630: 5, 21635: 5, 21640: 5, 21645: 5, 21650: 3, 21655: 2, 21660: 1, 21665: 1, 21670: 1, 21675: 1, 21680: 1, 21685: 1, 21690: 1, 21695: 1, 21700: 1, 21705: 1, 21710: 1, 21715: 1, 21720: 1, 21725: 1, 21730: 1, 21735: 1, 21740: 1, 21745: 1, 21750: 1, 21755: 1, 21760: 1, 21765: 1, 21770: 1, 21775: 1, 21780: 1, 21785: 1, 21790: 2, 21795: 2, 21800: 2, 21805: 2, 21810: 2, 21815: 2, 21820: 2, 21825: 2, 21830: 1, 21835: 1, 21840: 1, 21845: 1, 21850: 1, 21855: 1, 21860: 1, 21865: 1, 21870: 1, 21875: 1, 21880: 1, 21885: 1, 21890: 1, 21895: 1, 21900: 1, 21905: 1, 21910: 1, 21915: 1, 21920: 1, 21925: 1, 21930: 1, 21935: 1, 21940: 1, 21945: 1, 21950: 1, 21955: 1, 21960: 1, 21965: 1, 21970: 1, 21975: 1, 21980: 1, 21985: 1, 21990: 1, 21995: 1, 22000: 1, 22005: 1, 22010: 1, 22015: 1}","[21600, 21605, 21610, 21615, 21620]",21430.0,21790.0,0.4099,21369,22015,21216,21977,120206
2022-07-08,"{21590: 1, 21595: 1, 21600: 1, 21605: 1, 21610: 1, 21615: 1, 21620: 1, 21625: 1, 21630: 1, 21635: 2, 21640: 3, 21645: 4, 21650: 4, 21655: 4, 21660: 5, 21665: 6, 21670: 8, 21675: 9, 21680: 10, 21685: 11, 21690: 11, 21695: 11, 21700: 11, 21705: 11, 21710: 12, 21715: 12, 21720: 12, 21725: 10, 21730: 10, 21735: 10, 21740: 10, 21745: 11, 21750: 8, 21755: 5, 21760: 5, 21765: 5, 21770: 5, 21775: 4, 21780: 5, 21785: 5, 21790: 5, 21795: 5, 21800: 5, 21805: 5, 21810: 4, 21815: 4, 21820: 4, 21825: 4, 21830: 4, 21835: 4, 21840: 4, 21845: 4, 21850: 4, 21855: 4, 21860: 3, 21865: 2, 21870: 2, 21875: 1, 21880: 1, 21885: 1, 21890: 1, 21895: 1, 21900: 1, 21905: 1, 21910: 1, 21915: 1, 21920: 1, 21925: 1, 21930: 1, 21935: 1, 21940: 1, 21945: 1, 21950: 1, 21955: 1, 21960: 1, 21965: 2, 21970: 2, 21975: 2, 21980: 2, 21985: 2, 21990: 2, 21995: 2, 22000: 2, 22005: 1, 22010: 1, 22015: 1, 22020: 1, 22025: 1, 22030: 1, 22035: 1, 22040: 1, 22045: 1, 22050: 1}","[21710, 21715, 21720]",21619.0,21811.0,1.0857,21989,22053,21588,21742,115997
2022-07-11,"{20925: 1, 20930: 1, 20935: 1, 20940: 1, 20945: 1, 20950: 1, 20955: 1, 20960: 1, 20965: 1, 20970: 1, 20975: 1, 20980: 1, 20985: 1, 20990: 1, 20995: 1, 21000: 2, 21005: 2, 21010: 3, 21015: 3, 21020: 3, 21025: 3, 21030: 4, 21035: 5, 21040: 5, 21045: 5, 21050: 5, 21055: 6, 21060: 6, 21065: 6, 21070: 6, 21075: 7, 21080: 7, 21085: 7, 21090: 8, 21095: 6, 21100: 6, 21105: 6, 21110: 7, 21115: 8, 21120: 8, 21125: 8, 21130: 8, 21135: 7, 21140: 6, 21145: 6, 21150: 6, 21155: 4, 21160: 3, 21165: 3, 21170: 3, 21175: 4, 21180: 4, 21185: 3, 21190: 3, 21195: 3, 21200: 2, 21205: 2, 21210: 2, 21215: 2, 21220: 2, 21225: 3, 21230: 3, 21235: 3, 21240: 2, 21245: 2, 21250: 2, 21255: 2, 21260: 2, 21265: 2, 21270: 2, 21275: 2, 21280: 1, 21285: 1, 21290: 1, 21295: 1, 21300: 1, 21305: 1, 21310: 1, 21315: 1, 21320: 1, 21325: 1, 21330: 1, 21335: 1, 21340: 1, 21345: 1, 21350: 1, 21355: 1, 21360: 1, 21365: 1, 21370: 1, 21375: 1, 21380: 1, 21385: 1, 21390: 1, 21395: 1, 21400: 1, 21405: 1, 21410: 2, 21415: 2, 21420: 2, 21425: 2, 21430: 2, 21435: 2, 21440: 2, 21445: 2, 21450: 2, 21455: 1, 21460: 1, 21465: 1, 21470: 1, 21475: 1, 21480: 1, 21485: 1, 21490: 1, 21495: 1, 21500: 1, 21505: 1, 21510: 1, 21515: 1, 21520: 1, 21525: 1, 21530: 1, 21535: 1, 21540: 1, 21545: 1, 21550: 1, 21555: 1, 21560: 1, 21565: 1, 21570: 1, 21575: 1, 21580: 1, 21585: 1, 21590: 1, 21595: 1, 21600: 1, 21605: 1}","[21090, 21115, 21120, 21125, 21130]",20957.0,21275.0,0.9753,21595,21609,20923,21024,130151
